Name	SMC_Section	Height_m	Height_ft	Map_1to50k	Grid_Ref
Beinn a' Chreachain	2	1080.6	3545	50	NN373440
Beinn a' Chreachain - Meall Buidhe	2	977.1	3206	50	NN359438
Beinn a' Chreachain North Top [Top of Coire Dubh]	2	959.9	3149	50	NN378449
Beinn Mhanach	2	953	3127	50	NN373411
Beinn Mhanach - Beinn a' Chuirn	2	923	3028	50	NN359409
Ben Lawers	2	1214	3983	51	NN635414
An Stuc	2	1117.1	3665	51	NN638431
Ben Lawers - Creag an Fhithich	2	1047	3435	51	NN635422
Meall Garbh	2	1123.1	3685	51	NN644437
Meall Greigh	2	1001	3284	51	NN674438
Beinn Ghlas	2	1103	3619	51	NN625404
Meall Corranaich	2	1069	3507	51	NN615410
Meall Corranaich - Sron dha-Murchdi	2	935	3068	51	NN611403
Meall a' Choire Leith	2	925.6	3037	51	NN612438
Meall nan Tarmachan	2	1043.5	3424	51	NN585389
Meall nan Tarmachan - Meall Garbh	2	1026.7	3368	51	NN578383
Meall nan Tarmachan - Beinn nan Eachan	2	1000.1	3281	51	NN570383
Meall nan Tarmachan - Beinn nan Eachan East Top	2	951.4	3121	51	NN574383
Meall nan Tarmachan SE Top [Meall nan Tarmachan South Top]	2	921.5	3023	51	NN589385
Meall nan Tarmachan - Creag na Caillich	2	914.3	2999.7	51	NN562377
Meall Ghaordaidh	2	1039.8	3411	51	NN514397
Beinn Sheasgarnaich [Beinn Heasgarnich]	2	1077.4	3535	51	NN413383
Beinn Heasgarnich - Stob an Fhir-Bhogha	2	1029	3376	51	NN411372
Creag Mhor	2	1047	3435	50	NN391361
Creag Mhor - Stob nan Clach	2	956	3136	50	NN387351
Ben Challum [Beinn Challuim]	2	1025	3363	50	NN386322
Ben Challum South Top [Beinn Challuim South Top]	2	998	3274	50	NN386315
Meall Glas	2	959	3146	51	NN431321
Meall Glas - Beinn Cheathaich	2	937	3074	51	NN444326
Sgiath Chuil	2	920	3018	51	NN462317
Sgiath Chuil - Meall a' Churain	2	917.2	3009	51	NN462324
Aonach Eagach - Sgorr nam Fiannaidh	3	967.7	3175	41	NN140583
Aonach Eagach - Stob Coire Leith	3	939.4	3082	41	NN149584
Aonach Eagach - Meall Dearg	3	952.2	3124	41	NN161583
Meall Dearg - Am Bodach	3	941.8	3090	41	NN168580
Buachaille Etive Mor - Stob Dearg	3	1021.4	3351	41	NN222542
Buachaille Etive Mor - Stob na Doire	3	1010.4	3315	41	NN207532
Buachaille Etive Mor - Stob na Broige	3	953.4	3128	41	NN190525
Buachaille Etive Mor - Stob Coire Altruim	3	938.7	3080	41	NN197530
Buachaille Etive Beag - Stob Dubh	3	958	3143	41	NN179535
Buachaille Etive Beag - Stob Coire Raineach	3	925	3035	41	NN191548
Bidean nam Bian	3	1149.4	3771	41	NN143542
Bidean nam Bian - Stob Coire nan Lochan	3	1115.5	3660	41	NN148548
Bidean nam Bian - Stob Coire nam Beith	3	1106.8	3631	41	NN138546
Stob Coire Sgreamhach	3	1072	3517	41	NN154536
Stob Coire Sgreamhach - Beinn Fhada [Stob Coire Sgreamhach East Top]	3	952	3123	41	NN159540
Stob Coire Sgreamhach - Beinn Fhada NE Top [Beinn Fhada]	3	931	3054	41	NN164543
Beinn a' Bheithir - Sgorr Dhearg	3	1024	3360	41	NN056558
Beinn a' Bheithir - Sgorr Dhonuill	3	1001	3284	41	NN040555
Beinn a' Bheithir - Sgorr Bhan	3	947	3107	41	NN062560
Sgor na h-Ulaidh	3	994	3261	41	NN111517
Sgor na h-Ulaidh - Stob an Fhuarain	3	968	3176	41	NN118523
Beinn Fhionnlaidh	3	959	3146	50	NN095497
Beinn Sgulaird	3	937	3074	50	NN053460
Ben Cruachan	3	1127	3698	50	NN069304
Ben Cruachan - Stob Dearg [Taynuilt Peak]	3	1103.1	3619	50	NN062307
Ben Cruachan - Drochaid Ghlas	3	1024.3	3361	50	NN083307
Ben Cruachan - Meall Cuanail	3	920.2	3019	50	NN069295
Stob Daimh [Stob Diamh]	3	999.2	3278	50	NN094308
Stob Diamh - Stob Garbh	3	981.7	3221	50	NN095302
Stob Diamh - Sron An Isean	3	966.6	3171	50	NN099311
Beinn Eunaich	3	989	3245	50	NN135327
Beinn a' Chochuill	3	980	3215	50	NN109328
Beinn nan Aighenan	3	960	3150	50	NN148405
Ben Starav	3	1078	3537	50	NN125427
Ben Starav - Stob Coire Dheirg	3	1028	3373	50	NN131426
Ben Starav - Stob Coire Dheirg (old top)	3	1068	3504	50	NN128424
Ben Starav - Meall Cruidh	3	930	3051	50	NN129415
Ben Starav - Stob an Duine Ruaidh	3	918	3012	50	NN124409
Glas Bheinn Mhor	3	997	3271	50	NN153429
Stob Coir' an Albannaich	3	1044	3425	50	NN169443
Meall nan Eun	3	928	3045	50	NN192449
Stob Ghabhar	3	1090	3576	50	NN230455
Stob Ghabhar - Aonach Eagach	3	1000	3281	50	NN235453
Stob Ghabhar - Sron a' Ghearrain	3	990	3248	50	NN221456
Stob Ghabhar - Sron nan Giubhas	3	976	3202	50	NN230461
Stob Ghabhar - Stob a' Bhruaich Leith	3	941	3087	50	NN208459
Stob a' Choire Odhair	3	945	3100	50	NN257459
Creise	3	1099.8	3608	41	NN238506
Creise - Mam Coire Easain	3	1070	3510	41	NN238500
Creise - Clach Leathad	3	1098.9	3605	50	NN240493
Creise - Stob a' Ghlais Choire	3	995.5	3266	41	NN239516
Meall a' Bhuiridh	3	1107.9	3635	41	NN250503
Ben Nevis	4	1344.53	4411	41	NN166712
Ben Nevis - Carn Dearg NW Top (new GR)	4	1221	4006	41	NN159719
Ben Nevis - Carn Dearg NW Top (old GR)	4	1214	3983	41	NN158721
Ben Nevis - Carn Dearg SW Top [South Top]	4	1020	3346	41	NN155701
Aonach Beag	4	1234	4049	41	NN197715
Aonach Beag - Stob Choire Bhealach	4	1100	3609	41	NN201708
Aonach Beag - Sgurr a' Bhuic	4	963	3159	41	NN204701
Aonach Mor	4	1221	4006	41	NN193729
Aonach Mor - Stob an Cul Choire	4	1068	3504	41	NN203731
Aonach Mor - Stob Coire an Fhir Dhuibh	4	986	3235	41	NN208736
Aonach Mor - Tom na Sroine	4	918	3012	41	NN207745
Carn Mor Dearg	4	1220	4003	41	NN177721
Carn Mor Dearg - Carn Dearg Meadhonach	4	1179	3868	41	NN175726
Carn Mor Dearg - Carn Beag Dearg	4	995	3264	41	NN171736
Sgurr Choinnich Mor	4	1094	3589	41	NN227714
Sgurr Choinnich Mor - Sgurr Choinnich Beag	4	963	3159	41	NN220710
Stob Coire an Laoigh	4	1116	3661	41	NN239725
Stob Coire an Laoigh - Caisteal	4	1106	3629	41	NN246729
Stob Coire an Laoigh - Stob Coire Easain	4	1080	3543	41	NN234727
Stob Coire an Laoigh - Stob Coire Cath na Sine	4	1079	3540	41	NN252730
Stob Coire an Laoigh - Beinn na Socaich	4	1007	3304	41	NN236734
Stob Choire Claurigh	4	1177	3862	41	NN261738
Stob Choire Claurigh North Top	4	1121	3678	41	NN262742
Stob Choire Claurigh - Stob Coire na Ceannain	4	1123	3684	41	NN267745
Stob Choire Claurigh - Stob a' Choire Leith	4	1105	3625	41	NN256736
Stob Choire Claurigh - Stob Coire na Gaibhre	4	958	3143	41	NN260757
Stob Ban	4	977	3205	41	NN266723
Stob Coire Easain	4	1115	3658	41	NN308730
Stob a' Choire Mheadhoin	4	1105	3625	41	NN316736
Sgurr Eilde Mor	4	1010	3314	41	NN230657
Binnein Beag	4	943	3094	41	NN221677
Binnein Mor	4	1130	3707	41	NN212663
Binnein Mor South Top	4	1062	3484	41	NN211656
Binnein Mor - Sgor Eilde Beag	4	955.7	3135	41	NN219653
Na Gruagaichean	4	1054.2	3459	41	NN203652
Na Gruagaichean NW Top [North Top]	4	1038.8	3408	41	NN201654
An Gearanach	4	981.4	3220	41	NN187669
An Gearanach - An Garbhanach	4	974.9	3198	41	NN188665
Stob Coire a' Chairn	4	981.4	3220	41	NN185660
Am Bodach	4	1031.8	3385	41	NN176650
Sgurr a' Mhaim - Sgor an Iubhair	4	999.7	3280	41	NN165655
Sgurr a' Mhaim - Stob Choire a' Mhail	4	990	3248	41	NN163660
Sgurr a' Mhaim	4	1099	3606	41	NN164667
Stob Ban	4	999.7	3280	41	NN147654
Mullach nan Coirean	4	939.3	3082	41	NN122662
Mullach nan Coirean SE Top [South Top]	4	917.5	3010	41	NN131654
Stob Coire Sgriodain	4	979	3212	41	NN356743
Stob Coire Sgriodain South Top	4	958	3143	41	NN359738
Chno Dearg	4	1046	3432	41	NN377741
Chno Dearg - Meall Garbh (old position)	4	975	3199	41	NN371730
Chno Dearg - Meall Garbh (new position)	4	976	3202	41	NN371727
Beinn na Lap	4	935	3068	41	NN376695
Carn Dearg	4	941	3087	42	NN417661
Sgor Gaibhre	4	955	3133	42	NN444674
Sgor Gaibhre - Sgor Choinnich	4	929	3048	42	NN443683
Beinn Eibhinn	4	1103.2	3619	42	NN449733
Beinn Eibhinn - Meall Glas Choire	4	924	3031	42	NN436727
Beinn Eibhinn - Mullach Coire nan Nead	4	922	3025	42	NN430734
Aonach Beag	4	1115.8	3661	42	NN457741
Geal-Charn	4	1132	3714	42	NN469746
Geal-Charn - Sgor Iutharn	4	1028	3373	42	NN489743
Carn Dearg	4	1034	3392	42	NN504764
Carn Dearg - Diollaid a' Chairn	4	925	3035	42	NN487757
Beinn a' Chlachair	4	1087	3566	42	NN471781
Creag Pitridh	4	924	3031	34 42	NN487814
Geal Charn	4	1049	3442	42	NN504811
Geal Charn - Sron Garbh	4	1023	3356	42	NN509810
Ben Alder	4	1148	3766	42	NN496718
Beinn Bheoil	4	1019	3343	42	NN517717
Beinn Bheoil - Sron Coire na h-Iolaire	4	956	3136	42	NN513704
Beinn Udlamain	5	1010.2	3314	42	NN579739
Sgairneach Mhor (old GR)	5	963	3159	42	NN594727
Sgairneach Mhor	5	991	3251	42	NN598731
A' Mharconaich-Bruach nan Iomairean (1974 position)	5	969.8	3182	42	NN601758
A' Mharconaich	5	973.2	3193	42	NN604762
Geal-charn	5	917.1	3009	42	NN596782
Meall Chuaich	5	951	3120	42	NN716878
Carn na Caim	5	940.8	3087	42	NN677821
Mullach Coire nan Cisteachan [Carn na Caim South Top]	5	914.6	3001	42	NN663806
A' Bhuidheanach Bheag	5	936	3071	42	NN660775
A' Bhuidheanach Bheag - Glas Mheall Mor	5	927.9	3044	42	NN680769
A' Bhuidheanach Bheag - Meall a'Chaorainn	5	916	3005	42	NN646777
Beinn Dearg	6	1008.7	3309	43	NN852778
Beinn Dearg - Beinn Gharbh	6	930.4	3052	43	NN851790
An Sgarsoch	6	1006.5	3302	43	NN933836
An Sgarsoch - Druim Sgarsoch	6	954	3130	43	NN945836
Carn an Fhidhleir [Carn Ealar]	6	994.1	3261	43	NN904841
Carn a' Chlamain	6	963.5	3161	43	NN915758
Carn a' Chlamain North Top	6	952	3123	43	NN913761
Beinn a' Ghlo - Carn nan Gabhar	6	1121.9	3681	43	NN971733
Beinn a' Ghlo - Airgiod Bheinn	6	1061.7	3483	43	NN961719
Beinn a' Ghlo - Braigh Coire Chruinn-bhalgain	6	1070	3510	43	NN945724
Beinn a' Ghlo - Carn Liath	6	976	3202	43	NN936698
Glas Tulaichean	6	1051	3448	43	NO051760
Carn an Righ	6	1029	3376	43	NO028772
Beinn Iutharn Mhor	6	1045	3428	43	NO045792
Beinn Iutharn Mhor - Mam nan Carn	6	986	3235	43	NO049779
Beinn Iutharn Mhor - Beinn Iutharn Bheag	6	953	3127	43	NO065791
Carn Bhac	6	945.1	3101	43	NO051832
Carn Bhac SW Top	6	918.1	3012	43	NO041827
Carn Bhac - Carn a' Bhutha	6	905.9	2972	43	NO033820
An Socach	6	944	3097	43	NO079800
An Socach East Top	6	938	3077	43	NO098805
Carn a' Gheoidh	6	975	3199	43	NO107767
Carn a' Gheoidh - Carn nan Sac	6	920	3018	43	NO119769
Carn a' Gheoidh - Carn Bhinnein	6	917	3009	43	NO091762
The Cairnwell	6	933	3061	43	NO134773
Carn Aosda	6	915.3	3003	43	NO133791
Lochnagar - Cac Carn Beag	7	1156	3793	44	NO243861
Lochnagar - Cac Carn Mor	7	1150	3773	44	NO245856
Lochnagar - Cuidhe Crom	7	1083	3553	44	NO259849
Lochnagar - Meikle Pap	7	980	3215	44	NO259860
Lochnagar - Meall Coire na Saobhaidhe	7	974	3196	44	NO242872
Lochnagar - Little Pap	7	956	3136	44	NO264844
Carn a' Choire Bhoidheach	7	1109.9	3641	44	NO226845
Carn a' Choire Bhoidheach - Creag a' Ghlas-uillt	7	1068	3504	44	NO242842
Carn a' Choire Bhoidheach - Top of Eagle's Rock	7	1051	3448	44	NO237838
Carn a' Choire Bhoidheach - Carn an t-Sagairt Beag	7	1044.4	3427	44	NO216848
Carn an t-Sagairt Mor	7	1047	3435	44	NO208842
Glas Maol	7	1068	3504	43	NO166765
Glas Maol - Little Glas Maol	7	973	3192	43	NO175759
Glas Maol - Meall Odhar	7	922	3025	43	NO155773
Creag Leacach	7	988.2	3242	43	NO154745
Creag Leacach SW Top	7	943.7	3096	43	NO149741
Cairn of Claise	7	1064	3491	43	NO185788
Cairn of Claise - Druim Mor	7	961	3153	43	NO189771
Carn an Tuirc	7	1019	3343	43	NO174804
Tom Buidhe	7	957	3140	44	NO213787
Tolmount	7	958	3143	44	NO210800
Tolmount - Crow Craigies	7	920	3018	44	NO222798
Cairn Bannoch	7	1012	3320	44	NO222825
Cairn Bannoch - Fafernie	7	1000	3281	44	NO215823
Cairn Bannoch - Creag Leachdach	7	957	3140	44	NO210816
Cairn Bannoch - Cairn of Gowal	7	991	3251	44	NO226820
Cairn Bannoch - Cairn of Gowal (old GR)	7	983	3225	44	NO227816
Cairn Bannoch - Craig of Gowal	7	927	3041	44	NO231809
Broad Cairn	7	998	3274	44	NO240815
Broad Cairn - Creag an Dubh-loch	7	983	3225	44	NO232823
Mayar	7	928	3045	44	NO240737
Driesh	7	947	3107	44	NO271735
Mount Keen	7	939	3081	44	NO409869
Mullach Clach a' Bhlair	8	1019	3343	35 43	NN882927
Mullach Clach a' Bhlair - Diollaid Coire Eindart	8	974	3196	43	NN904927
Mullach Clach a' Bhlair - Druim nam Bo	8	918	3012	35 43	NN873921
Sgor Gaoith	8	1118	3668	36 43	NN903989
Sgor Gaoith - Sgoran Dubh Mor	8	1111	3645	36	NH904002
Sgor Gaoith - Carn Ban Mor	8	1052	3451	35 36 43	NN893972
Sgor Gaoith - Meall Dubhag	8	998	3274	35 36 43	NN880955
Sgor Gaoith - Meall Buidhe	8	976	3202	35 36	NH891001
Sgor Gaoith - Geal-charn	8	920	3018	35 36	NH884014
Braeriach	8	1296	4252	36 43	NN953999
Braeriach - Stob Coire an Lochain	8	1235	4052	36 43	NN940997
Braeriach - Carn na Criche	8	1265	4150	36 43	NN939982
Braeriach - Sron na Lairige	8	1184	3885	36	NH964006
Braeriach - Tom Dubh	8	918	3012	36 43	NN921952
Cairn Toul	8	1291	4236	36 43	NN963972
Sgor an Lochain Uaine	8	1258	4127	36 43	NN954976
Cairn Toul - Stob Coire an t-Saighdeir	8	1213	3980	36 43	NN962963
The Devil's Point	8	1004	3294	36 43	NN976951
Monadh Mor	8	1113	3652	36 43	NN938942
Monadh Mor - Leth-chreag	8	985	3232	36 43	NN921939
Beinn Bhrotain	8	1157	3796	43	NN954922
Beinn Bhrotain - Carn Cloich-mhuilinn	8	942	3091	43	NN968906
Carn a' Mhaim	8	1037	3402	36 43	NN994951
Ben Macdui [Beinn Macduibh]	8	1309	4295	36 43	NN988989
Ben Macdui North Top	8	1295	4249	36 43	NN991995
Ben Macdui - Carn Etchachan	8	1120	3675	36	NJ003009
Ben Macdui - Stob Coire Sputan Dearg	8	1249	4098	36 43	NN998985
Ben Macdui - Sron Riach	8	1113	3652	36 43	NN999977
Cairn Gorm	8	1244.8	4084	36	NJ005040
Cairn Gorm - Cairn Lochan	8	1216	3990	36	NH985025
Cairn Gorm - Fiacaill Coire an t-Sneachda	8	1122	3681	36	NH988032
Cairn Gorm - Stob Coire an t-Sneachda	8	1176	3858	36	NH996029
Cairn Gorm - Fiacaill a' Choire Chais	8	1141	3743	36	NH998039
Cairn Gorm - Cnap Coire na Spreidhe	8	1150	3773	36	NJ013049
Cairn Gorm - Sron a' Cha-no	8	1028	3373	36	NJ016059
Cairn Gorm - Creag an Leth-choin [Lurcher's Crag]	8	1053	3455	36	NH968033
Cairn Gorm - Creag an Leth-choin North Top	8	1026	3366	36	NH968039
Cairn Gorm - Fiacaill na Leth-choin	8	1083	3553	36	NH975024
Bynack More	8	1090	3576	36	NJ041063
Bynack More - A' Choinneach	8	1017	3337	36	NJ032048
Bynack More - Bynack Beg	8	970	3182	36	NJ036068
Beinn Mheadhoin	8	1182.9	3881	36	NJ024016
Beinn Mheadhoin SW Top [S Top]	8	1163	3816	36	NJ018011
Beinn Mheadhoin - Stob Coire Etchachan	8	1082	3550	36	NJ024005
Beinn Mheadhoin - Stacan Dubha	8	1014	3327	36	NJ012014
Derry Cairngorm	8	1155	3789	36 43	NO017980
Derry Cairngorm - Creagan a' Choire Etchachan	8	1108	3635	36 43	NO011996
Derry Cairngorm - Sgurr an Lochan Uaine	8	983	3225	36 43	NO025991
Derry Cairngorm - Little Cairngorm	8	1040	3412	36 43	NO020972
Beinn Bhreac	8	931	3054	36 43	NO058970
Beinn Bhreac West Top	8	927	3041	36 43	NO052972
Beinn a' Chaorainn	8	1083	3553	36	NJ045013
Beinn a' Chaorainn - Beinn a' Chaorainn Bheag	8	1017	3337	36	NJ057017
Ben Avon - Leabaidh an Daimh Bhuidhe	8	1171	3842	36	NJ131018
Ben Avon - Stob Dubh an Eas Bhig	8	1061	3481	36	NJ133002
Ben Avon SW Top [Ben Avon South Top]	8	1138	3734	36	NJ125013
Ben Avon - Stob Bac an Fhurain	8	1076	3530	36	NJ136033
Ben Avon - Mullach Lochan nan Gabhar	8	1122	3681	36	NJ143021
Ben Avon - Stuc Gharbh Mhor	8	1120	3675	36	NJ147013
Ben Avon - Stuc Garbh Mhor (old GR)	8	1112	3648	36	NJ146016
Ben Avon - West Meur Gorm Craig	8	1023	3356	36	NJ153036
Ben Avon - Big Brae	8	942	3091	36	NJ158033
Ben Avon - East Meur Gorm Craig	8	935	3068	36	NJ159042
Ben Avon - Carn Eas	8	1089	3573	36 43	NO122992
Ben Avon - Creag an Dail Mhor	8	972	3189	36 43	NO131982
Beinn a' Bhuird [Beinn a' Bhuird North Top]	8	1197	3927	36	NJ092006
Beinn a' Bhuird South Top (old GR)	8	1177	3862	36 43	NO090979
Beinn a' Bhuird South Top	8	1179	3868	36 43	NO092986
Beinn a' Bhuird - Cnap a' Chleirich	8	1174	3852	36	NJ107010
Beinn a' Bhuird - Stob an t' Sluichd	8	1107	3632	36	NJ112027
Beinn a' Bhuird - A' Chioch	8	1151	3776	36 43	NO097986
Geal Charn	9	926	3038	35	NN561987
Carn Dearg	9	945.7	3103	35	NH635023
Carn Dearg - Carn Ban [Carn Mairg]	9	942.2	3091	35	NH631031
Carn Dearg SE Top	9	923.6	3030	35	NH637017
Carn Dearg - Sneachdach Slinnean	9	919	3015	35	NH622027
Carn Dearg - Carn Ballach (SW Top)	9	919.8	3018	35	NH643044
Carn Dearg - Carn Ballach (NE Top)	9	919.2	3016	35	NH647048
A' Chailleach	9	929.2	3049	35	NH681041
Carn Sgulain	9	920.3	3019	35	NH683058
Creag Meagaidh	9	1128	3701	34 42	NN418875
Creag Meagaidh East Top	9	1115	3658	34 42	NN424875
Creag Meagaidh - Puist Coire Ardair	9	1071	3514	34 42	NN437872
Creag Meagaidh - Creag Mhor	9	1069	3507	34 42	NN442873
Creag Meagaidh - Meall Coire Choille-rais	9	1028	3373	34 42	NN432862
Creag Meagaidh - Sron a' Choire	9	1001	3284	34 42	NN448877
Creag Meagaidh - An Cearcallach	9	993	3258	34 42	NN422853
Stob Poite Coire Ardair	9	1054	3458	34 42	NN428888
Stob Poite Coire Ardair East Top [Crom Leathad]	9	1050	3445	34 42	NN437891
Stob Poite Coire Ardair - Sron Coire a' Chriochairein	9	993	3258	34 42	NN447899
Carn Liath	9	1006	3301	34	NN472903
Carn Liath - Meall an-t-Snaim	9	970	3182	34	NN459904
Carn Liath - A' Bhuidheanach	9	966	3169	34	NN481907
Carn Liath - Stob Coire Dubh	9	916	3005	34	NN496916
Beinn a' Chaorainn	9	1052	3451	34 41	NN386850
Beinn a' Chaorainn South Top	9	1049	3442	34 41	NN386845
Beinn a' Chaorainn North Top	9	1043	3422	34 41	NN383857
Beinn Teallach	9	914.6	3001	34 41	NN361859
Gleouraich	10	1035	3396	33	NH039053
Gleouraich - Creag Coire na Fiar Bhealaich [Craig Coire na Fiar Bhealaich]	10	1006	3301	33	NH047051
Sgurr a' Mhaoraich	10	1027	3369	33	NG983065
Sgurr a' Mhaoraich - Sgurr a' Mhaoraich Beag	10	948	3110	33	NG977067
Sgurr a' Mhaoraich - Am Bathaich	10	899	2949	33	NG988075
Spidean Mialach	10	996	3268	33	NH065043
The Saddle	10	1011.4	3318	33	NG936131
The Saddle - Trig Point	10	1011.1	3317	33	NG934130
The Saddle North Top [1921: Sgurr na Creige]	10	926	3038	33	NG935138
The Saddle West Top	10	974	3196	33	NG929128
The Saddle - Sgurr na Forcan	10	964.6	3165	33	NG940130
The Saddle East Top [1974: Sgurr nan Forcan]	10	959	3146	33	NG938130
The Saddle - Spidean Dhomhuill Bhric [1891: Sgurr na Creige]	10	939	3081	33	NG922129
The Saddle - Sgurr Leac nan Each	10	919	3015	33	NG917133
Sgurr na Sgine	10	946	3104	33	NG946113
Sgurr na Sgine NW Top	10	942	3091	33	NG943115
Sgurr na Sgine - Faochag	10	909	2982	33	NG954123
Creag a' Mhaim	10	946	3104	33	NH087077
Druim Shionnach	10	987	3238	33	NH074084
Druim Shionnach West Top	10	938	3077	33	NH062082
Aonach air Chrith	10	1019.5	3345	33	NH051083
Maol Chinn-dearg	10	980.3	3216	33	NH032087
Sgurr an Doire Leathain	10	1010	3314	33	NH015098
Sgurr an Lochain	10	1004	3294	33	NH005104
Creag nan Damh	10	918	3012	33	NG983112
Beinn Sgritheall	10	974	3196	33	NG835126
Beinn Sgritheall NW Top	10	928	3045	33	NG834131
Sgurr na Ciche	10	1040	3412	33 40	NM902966
Garbh Chioch Mhor	10	1013	3323	33 40	NM909961
Garbh Chioch Mhor - Garbh Chioch Bheag	10	968	3176	33 40	NM918959
Sgurr nan Coireachan	10	953	3127	33 40	NM933958
Sgurr Mor	10	1003	3291	33 40	NM965980
Gairich	10	919	3015	33	NN025995
Meall Buidhe	10	946	3104	33 40	NM848989
Meall Buidhe SE Top	10	942	3091	33 40	NM852987
Ladhar Bheinn	10	1020	3346	33	NG824039
Ladhar Bheinn - Stob a' Choire Odhair	10	960	3150	33	NG830043
Luinne Bheinn	10	939	3081	33	NG869007
Luinne Bheinn East Top	10	936	3071	33	NG872006
Sron a' Choire Ghairbh	10	937	3074	34	NN222945
Meall na Teanga	10	918	3012	34	NN220924
Gulvain [Gaor Bheinn]	10	987	3238	41	NN002875
Gulvain South Top	10	961	3153	40	NM996864
Sgurr Thuilm	10	963	3159	40	NM939879
Sgurr nan Coireachan	10	956	3136	40	NM902880
Sgurr Fhuaran	11	1068.7	3506	33	NG978166
Sgurr na Carnach	11	1002	3287	33	NG977158
Sgurr Fhuaran - Sgurr nan Saighead	11	929	3048	33	NG974177
Sgurr na Ciste Duibhe	11	1027	3369	33	NG984149
Sgurr na Ciste Duibhe - Sgurr nan Spainteach	11	990	3248	33	NG991150
Saileag	11	956	3136	33	NH017148
Sgurr a' Bhealaich Dheirg	11	1036	3399	33	NH035143
Aonach Meadhoin	11	1001	3284	33	NH048137
Aonach Meadhoin - Sgurr an Fhuarail	11	987	3238	33	NH054139
Ciste Dhubh	11	979	3212	33	NH062166
Beinn Fhada	11	1032	3386	33	NH018192
Beinn Fhada - Sgurr a' Dubh Doire	11	962	3156	33	NH034185
Beinn Fhada - Meall an Fhuarain Mhoir [Ceum na h-Aon Choise]	11	954	3130	33	NG999196
A' Ghlas-bheinn	11	918	3012	25 33	NH008231
Sgurr nan Ceathreamhnan [Sgurr nan Ceathramhnan]	11	1151	3776	25 33	NH057228
Sgurr nan Ceathreamhnan West Top	11	1143	3750	25 33	NH052228
Sgurr nan Ceathreamhnan East Top	11	970	3182	25 33	NH064225
Sgurr nan Ceathreamhnan - Stuc Bheag	11	1075	3527	25 33	NH053237
Sgurr nan Ceathreamhnan - Stuc Mor	11	1041	3415	25 33	NH053242
Sgurr nan Ceathreamhnan - Creag nan Clachan Geala	11	999	3278	25 33	NH042232
Sgurr nan Ceathreamhnan - Stob Coire nan Dearcag	11	941	3087	25 33	NH071225
Sgurr nan Ceathreamhnan - Stob Fraoch Choire	11	918	3012	25 33	NH052253
Sgurr nan Ceathreamhnan - Stob Coire na Cloiche	11	915	3002	25 33	NH075227
